,Abbrev.,LabID,Elk.Assignment,utm_E,utm_N,lon,lat,CollectionMonth,CollectionDay,CollectionYear,CollectionDate,Sex
19,C03T2S06,Tioga053,7,420621.2705,4829482.937,-123.9837233,43.61409667,4,22,2018,4/22/2018,M
20,C03T2S09,Tioga056,7,420550.1626,4829509.512,-123.9846083,43.61432833,4,22,2018,4/22/2018,M
21,C03T3S01,Tioga060,7,420753.5615,4829022.995,-123.9820167,43.60997,4,22,2018,4/22/2018,M
22,C03T2S08,Tioga055,8,420554.1314,4829503.911,-123.9845583,43.61427833,4,22,2018,4/22/2018,F
23,C03T3S06,Tioga065,8,420568.528,4828903.187,-123.9842917,43.60887167,4,22,2018,4/22/2018,F
24,C03T3S07,Tioga066,8,420563.3495,4828897.323,-123.984355,43.60881833,4,22,2018,4/22/2018,F
25,C03T2S11,Tioga058,9,420426.7977,4829586.879,-123.9861483,43.61501167,4,22,2018,4/22/2018,F
26,C03T3S09,Tioga068,9,420547.7459,4828897.138,-123.9845483,43.608815,4,22,2018,4/22/2018,F
27,C03T3S05,Tioga064,10,421059.801,4829966.123,-123.97836,43.61849333,4,22,2018,4/22/2018,F
28,C03T3S16,Tioga075,10,420400.5206,4828790.4,-123.9863567,43.60783833,4,22,2018,4/22/2018,F
29,C03T3S17,Tioga076,10,420616.2044,4828918.912,-123.9837033,43.60901833,4,22,2018,4/22/2018,F
30,C05T2S01,Tioga129,11,443440.9824,4829607.851,-123.7009617,43.617305,4,16,2018,4/16/2018,F
31,C05T2S02,Tioga130,11,443441.7674,4829605.253,-123.7009517,43.61728167,4,16,2018,4/16/2018,F
32,C05T2S05,Tioga133,11,443375.5248,4829675.786,-123.70178,43.61791167,4,16,2018,4/16/2018,F
33,C05T2S06,Tioga134,11,443379.875,4829665.382,-123.701725,43.61781833,4,16,2018,4/16/2018,F
34,C16T2S08,Tioga258,12,416534.5146,4812644.461,-124.0317733,43.46205667,4,25,2018,4/25/2018,F
35,C16T2S10,Tioga260,12,416542.6043,4812666.576,-124.0316767,43.46225667,4,25,2018,4/25/2018,F
36,C16T2S11,Tioga261,12,416544.3666,4812667.109,-124.031655,43.46226167,4,25,2018,4/25/2018,F
37,C16T2S09,Tioga259,13,416541.9581,4812668.62,-124.031685,43.462275,4,25,2018,4/25/2018,M
38,C16T3S04,Tioga268,13,417358.5144,4812607.645,-124.0215833,43.46181667,4,25,2018,4/25/2018,M
39,C16T2S12,Tioga262,14,416550.5254,4812663.33,-124.0315783,43.46222833,4,25,2018,4/25/2018,F
40,C16T2S14,Tioga264,14,416534.2602,4812646.13,-124.0317767,43.46207167,4,25,2018,4/25/2018,F
41,C16T3S02,Tioga266,14,417419.5123,4812611.71,-124.02083,43.46186,4,25,2018,4/25/2018,F
42,C16T2S06,Tioga256,15,416482.6771,4812639.919,-124.0324133,43.46201,4,25,2018,4/25/2018,F
43,C16T2S13,Tioga263,15,416541.8274,4812669.177,-124.0316867,43.46228,4,25,2018,4/25/2018,F
44,C16T3S06,Tioga270,15,417560.808,4812653.854,-124.01909,43.462255,4,25,2018,4/25/2018,F
45,C16T3S01,Tioga265,16,417329.4755,4812494.15,-124.021925,43.46079167,4,25,2018,4/25/2018,M
46,C16T3S09,Tioga273,16,417635.6311,4812729.951,-124.0181767,43.46294833,4,25,2018,4/25/2018,M
47,C16T3S03,Tioga267,17,417430.8831,4812615.273,-124.02069,43.46189333,4,25,2018,4/25/2018,F
48,C16T3S10,Tioga274,17,417638.4941,4812732.508,-124.0181417,43.46297167,4,25,2018,4/25/2018,F
49,C17T3S03,Tioga279,18,409946.4157,4806145.538,-124.1121267,43.402785,4,25,2018,4/25/2018,F
50,C17T3S07,Tioga283,18,409826.8909,4806180.642,-124.1136083,43.40308667,4,25,2018,4/25/2018,F
51,C17T3S05,Tioga281,19,409992.7521,4806289.69,-124.1115783,43.40408833,4,25,2018,4/25/2018,F
52,C17T3S06,Tioga282,19,409697.5602,4806310.849,-124.1152267,43.40424333,4,25,2018,4/25/2018,F
53,C23T3S03,Tioga361,20,445667.6645,4795899.151,-123.6700067,43.31396667,3,30,2018,3/30/2018,F
54,C23T3S07,Tioga365,20,445751.3264,4795392.038,-123.668925,43.30940667,3,30,2018,3/30/2018,F
55,C22T1S04,Tioga452,21,431478.3635,4794571.396,-123.8448017,43.30085333,5,8,2018,5/8/2018,F
56,C22T1S07,Tioga455,21,431455.2277,4794556.08,-123.845085,43.30071333,5,8,2018,5/8/2018,F
57,C22T1S05,Tioga453,22,431466.9425,4794565.033,-123.8449417,43.300795,5,8,2018,5/8/2018,F
58,C22T1S06,Tioga454,22,431466.3773,4794562.076,-123.8449483,43.30076833,5,8,2018,5/8/2018,F
59,C22T2S06,Tioga462,22,432249.4114,4793977.769,-123.8352233,43.29557833,5,8,2018,5/8/2018,F
60,C22T2S01,Tioga457,23,432551.877,4794263.708,-123.83153,43.29818,5,8,2018,5/8/2018,M
61,C22T2S09,Tioga465,23,432586.4173,4793903.142,-123.83106,43.29493667,5,8,2018,5/8/2018,M
62,C22T2S05,Tioga461,24,432321.3615,4794155.682,-123.8343583,43.29718667,5,8,2018,5/8/2018,F
63,C22T2S07,Tioga463,24,432386.0191,4793901.435,-123.83353,43.29490333,5,8,2018,5/8/2018,F
64,C35T3S01,Tioga486,25,434832.22,4770305.302,-123.800595,43.08266167,5,9,2018,5/9/2018,F
65,C35T3S09,Tioga494,25,434828.1082,4770358.095,-123.8006517,43.08313667,5,9,2018,5/9/2018,F
66,C35T3S02,Tioga487,26,434801.5475,4770347.242,-123.8009767,43.08303667,5,9,2018,5/9/2018,F
67,C35T3S04,Tioga489,26,434811.2753,4770356.59,-123.8008583,43.08312167,5,9,2018,5/9/2018,F
68,C36T1S01,Tioga499,27,444505.44,4771054.35,-123.6818433,43.07351,5,10,2018,5/10/2018,F
69,C36T1S02,Tioga500,27,444518.2194,4771021.928,-123.6816817,43.089885,5,10,2018,5/10/2018,F
70,C36T2S06,Tioga514,27,445353.5074,4770433.618,-123.6713617,43.08464833,5,10,2018,5/10/2018,F
71,C36T1S03,Tioga501,28,444531.3569,4770968.884,-123.681515,43.08940833,5,10,2018,5/10/2018,F
72,C36T2S01,Tioga509,28,445342.2463,4770415.939,-123.6714983,43.08448833,5,10,2018,5/10/2018,F
73,C36T1S04,Tioga502,29,444518.3593,4770904.947,-123.6816683,43.08883167,5,10,2018,5/10/2018,M
74,C36T1S06,Tioga504,29,444543.6265,4770792.943,-123.6813467,43.087825,5,10,2018,5/10/2018,M
75,C36T2S10,Tioga518,29,445615.4382,4770819.303,-123.6681817,43.08814,5,10,2018,5/10/2018,M
76,C36T2S13,Tioga521,29,445616.0027,4770872.791,-123.66818,43.08862167,5,10,2018,5/10/2018,M
77,C36T1S05,Tioga503,30,444543.7513,4770808.304,-123.6813467,43.08796333,5,10,2018,5/10/2018,F
