OBJECTID,Transect,Elevation,UTM_X,UTM_Y,Date,Time
17005,C02T2,358,424350.0496,4833185.978,5/6/2019,7:57:00
17006,C02T2,362,424309.0731,4833221.43,5/6/2019,7:57:00
17007,C02T2,364,424238.6099,4833238.444,5/6/2019,7:58:00
17008,C02T2,367.77,424165.8664,4833246.377,5/6/2019,7:59:00
17009,C02T2,367,424164.6592,4833246.613,5/6/2019,7:59:00
17010,C02T2,368,424160.1329,4833245.776,5/6/2019,7:59:00
17011,C02T2,391,424096.8179,4833217.391,5/6/2019,8:00:00
17012,C02T2,386,424024.5972,4833193.219,5/6/2019,8:01:00
17013,C02T2,371,423949.7261,4833184.294,5/6/2019,8:02:00
17014,C02T2,371,423894.8598,4833203.912,5/6/2019,8:03:00
17015,C02T2,368,423833.5524,4833231.6,5/6/2019,8:04:00
17016,C02T2,380,423815.5631,4833231.361,5/6/2019,8:05:00
17017,C02T2,399,423770.2826,4833207.328,5/6/2019,8:06:00
17018,C02T2,394,423721.4967,4833194.222,5/6/2019,8:07:00
17019,C02T2,401,423646.9786,4833216.287,5/6/2019,8:08:00
17020,C02T2,396.96,423568.6746,4833224.623,5/6/2019,8:09:00
17021,C02T2,397,423571.9887,4833225.251,5/6/2019,8:09:00
17022,C02T2,397,423567.47,4833225.081,5/6/2019,8:09:00
17023,C02T2,390,423489.3269,4833212.2,5/6/2019,8:10:00
17024,C02T2,390,423419.1668,4833163.907,5/6/2019,8:11:00
17025,C02T2,390,423381.3855,4833097.582,5/6/2019,8:12:00
17026,C02T2,411,423324.9175,4833061.796,5/6/2019,8:13:00
17027,C02T2,407,423250.7268,4833042.097,5/6/2019,8:14:00
17028,C02T2,402,423184.9791,4833055.291,5/6/2019,8:15:00
17029,C02T2,397,423191.2594,4833033.226,5/6/2019,8:16:00
17030,C02T2,376.1,423214.7401,4833005.854,5/6/2019,8:17:00
17031,C02T2,384,423213.858,4833006.309,5/6/2019,8:17:00
17032,C02T2,375,423214.1781,4833006.083,5/6/2019,8:17:00
17096,C02T3,409.49,423774.9612,4834474.877,5/6/2019,9:52:00
17097,C02T3,397,423773.6711,4834474.891,5/6/2019,9:52:00
17098,C02T3,409,423773.6685,4834474.669,5/6/2019,9:52:00
17099,C02T3,401,423788.6655,4834488.605,5/6/2019,9:53:00
17100,C02T3,401,423843.7248,4834501.085,5/6/2019,9:54:00
17101,C02T3,394,423907.0257,4834500.809,5/6/2019,9:55:00
17102,C02T3,389,423960.1588,4834471.548,5/6/2019,9:56:00
17103,C02T3,376,424010.5964,4834460.533,5/6/2019,9:57:00
17104,C02T3,375,424071.1523,4834445.739,5/6/2019,9:58:00
17105,C02T3,379,424108.3528,4834433.654,5/6/2019,9:59:00
17106,C02T3,380,424111.1434,4834430.846,5/6/2019,10:00:00
17107,C02T3,375,424148.106,4834411.988,5/6/2019,10:01:00
17108,C02T3,381,424186.0538,4834401.783,5/6/2019,10:02:00
17109,C02T3,382.35,424196.2577,4834398.446,5/6/2019,10:02:00
17110,C02T3,383,424195.5395,4834399.121,5/6/2019,10:02:00
17111,C02T3,381,424206.236,4834396.556,5/6/2019,10:03:00
17112,C02T3,376,424239.3445,4834343.531,5/6/2019,10:04:00
17113,C02T3,376,424250.8068,4834301.748,5/6/2019,10:05:00
17114,C02T3,369,424294.1017,4834315.031,5/6/2019,10:06:00
17115,C02T3,365,424341.6141,4834309.051,5/6/2019,10:07:00
17116,C02T3,364,424354.0958,4834314.575,5/6/2019,10:08:00
17117,C02T3,354,424373.7689,4834349.897,5/6/2019,10:09:00
17118,C02T3,351,424404.1061,4834372.658,5/6/2019,10:10:00
17119,C02T3,338,424427.8509,4834404.38,5/6/2019,10:11:00
17120,C02T3,343,424486.6184,4834445.37,5/6/2019,10:12:00
17121,C02T3,342.8,424501.4405,4834451.09,5/6/2019,10:12:00
17122,C02T3,342,424499.9903,4834451.217,5/6/2019,10:12:00
17123,C02T3,339,424500.4716,4834450.989,5/6/2019,10:13:00
17124,C02T3,337,424546.1842,4834500.014,5/6/2019,10:14:00
17125,C02T3,326,424590.0876,4834538.84,5/6/2019,10:15:00
17126,C02T3,340,424642.4142,4834559.466,5/6/2019,10:16:00
17127,C02T3,338,424700.022,4834576.478,5/6/2019,10:17:00
17128,C02T3,350,424740.4109,4834596.906,5/6/2019,10:18:00
17129,C02T3,354,424743.1408,4834624.533,5/6/2019,10:19:00
17130,C02T3,358,424744.4291,4834617.188,5/6/2019,10:20:00
17131,C02T3,359,424744.2491,4834615.524,5/6/2019,10:21:00
17132,C02T3,353,424718.9295,4834579.82,5/6/2019,10:22:00
17133,C02T3,351.12,424688.0612,4834574.169,5/6/2019,10:22:00
17134,C02T3,351,424687.9087,4834574.948,5/6/2019,10:22:00
17135,C02T3,346,424650.7517,4834562.26,5/6/2019,10:23:00
17136,C02T3,342,424582.8657,4834527.702,5/6/2019,10:24:00
17137,C02T3,343,424524.4756,4834477.155,5/6/2019,10:25:00
17138,C02T3,345,424473.3011,4834430.08,5/6/2019,10:25:00
17139,C02T3,348,424417.5159,4834381.837,5/6/2019,10:26:00
17140,C02T3,346,424379.048,4834346.061,5/6/2019,10:27:00
17141,C02T3,348,424336.5282,4834301.445,5/6/2019,10:28:00
17142,C02T3,355,424261.5036,4834292.074,5/6/2019,10:29:00
17143,C02T3,357,424222.1103,4834345.615,5/6/2019,10:30:00
17144,C02T3,360,424176.7193,4834403.555,5/6/2019,10:31:00
17145,C02T3,361.52,424111.7835,4834423.285,5/6/2019,10:32:00
17146,C02T3,362,424110.8222,4834423.852,5/6/2019,10:32:00
17147,C02T3,397,424090.3642,4834433.192,5/6/2019,10:32:00
17148,C02T3,391,424010.9831,4834451.976,5/6/2019,10:33:00
17149,C02T3,380,423937.5883,4834479.468,5/6/2019,10:34:00
17150,C02T3,351,423866.8029,4834495.269,5/6/2019,10:35:00
17151,C02T3,372,423804.0282,4834485.098,5/6/2019,10:36:00
17152,C02T3,374.02,423783.6141,4834477,5/6/2019,10:37:00
17153,C02T3,374,423782.8985,4834477.896,5/6/2019,10:37:00
2058,C03T1,455.58,421125.3418,4830186.69,4/17/2019,4:52:00
2059,C03T1,458,421123.978,4830187.373,4/17/2019,4:52:00
2060,C03T1,455,421123.7333,4830187.153,4/17/2019,4:52:00
2061,C03T1,500,421129.4886,4830175.645,4/17/2019,4:53:00
